import time: self [us] | cumulative | imported package
import time:      3018 |       3018 |           pprint
import time:   4023221 |    4026239 |         _pytest._io.saferepr
import time:   1264349 |    1264349 |           _pytest.warning_types
import time:   1936654 |    3201003 |         _pytest.deprecated
import time:   5259291 |    5259291 |           _pytest.outcomes
import time:   3967572 |    9226863 |         _pytest.pathlib
import time:      9763 |   36617941 |       _pytest._code.code
import time:       744 |   36618685 |     _pytest._code
import time:     24440 |      24440 |                   math
import time:     18670 |      18670 |                   _random
import time:      6090 |      49199 |                 random
import time:      9743 |      58942 |               tempfile
import time:       546 |        546 |               importlib.resources.abc
import time:       678 |      60165 |             importlib.resources._common
import time:      1947 |       1947 |             importlib.resources._functional
import time:      3318 |      65428 |           importlib.resources
import time:        75 |      65503 |         importlib.resources.abc
import time:      2724 |       2724 |           importlib.resources._itertools
import time:      3085 |       5809 |         importlib.resources.readers
import time:   1704554 |    1704554 |           _pytest._io.pprint
import time:       316 |        316 |               gettext
import time:      1015 |       1331 |             argparse
import time:       175 |        175 |             shlex
import time:   1293620 |    1293620 |             _pytest.config.compat
import time:   1785381 |    1785381 |             _pytest.config.exceptions
import time:   2760293 |    2760293 |                   iniconfig.exceptions
import time:   4969384 |    7729677 |                 iniconfig._parse
import time:   3858429 |   11588106 |               iniconfig
import time:   1523990 |   13112095 |             _pytest.config.findpaths
import time:   1858338 |    1858338 |             _pytest.config.argparsing
import time:   1370981 |    1370981 |             _pytest.hookspec
import time:   1438964 |    1438964 |             _pytest.stash
import time:   6914115 |   27774997 |           _pytest.config
import time:   7485351 |   36964902 |         _pytest.assertion.util
import time:   1252662 |    1252662 |                 _pytest.mark.expression
import time:   1211743 |    1211743 |                   _pytest.raises
import time:   1264292 |    1264292 |                   _pytest.scope
import time:   1286083 |    3762117 |                 _pytest.mark.structures
import time:   1152328 |    6167106 |               _pytest.mark
import time:       117 |    6167222 |             _pytest.mark.structures
import time:    994356 |    7161577 |           _pytest.nodes
import time:   1365550 |    1365550 |             _pytest.reports
import time:      2268 |       2268 |               bdb
import time:       304 |        304 |                   _datetime
import time:       829 |       1133 |                 datetime
import time:   1331423 |    1332555 |               _pytest.timing
import time:   1600592 |    2935414 |             _pytest.runner
import time:   1491698 |    5792661 |           _pytest.main
import time:   2034250 |   14988487 |         _pytest.fixtures
import time:   3729652 |   55754351 |       _pytest.assertion.rewrite
import time:   1262717 |    1262717 |       _pytest.assertion.truncate
import time:   3057722 |   60074789 |     _pytest.assertion
import time:   1211226 |    1211226 |     _pytest.cacheprovider
import time:   1201788 |    1201788 |     _pytest.capture
import time:      1198 |       1198 |           unittest.util
import time:      1698 |       2895 |         unittest.result
import time:     12166 |      12166 |               _heapq
import time:       219 |      12385 |             heapq
import time:       967 |      13351 |           difflib
import time:      1236 |      14587 |         unittest.case
import time:       513 |        513 |         unittest.suite
import time:      1011 |       1011 |         unittest.loader
import time:      1424 |       1424 |               signal
import time:       528 |       1951 |             unittest.signals
import time:       885 |       2836 |           unittest.runner
import time:       583 |       3419 |         unittest.main
import time:      1186 |      23608 |       unittest
import time:   1222801 |    1246409 |     _pytest.debugging
import time:       206 |        206 |         _wmi
import time:      1626 |       1832 |       platform
import time:   1715739 |    1715739 |       _pytest.python
import time:      1231 |       1231 |             numbers
import time:     21687 |      22917 |           _decimal
import time:       309 |      23225 |         decimal
import time:   1436201 |    1459426 |       _pytest.python_api
import time:   1128772 |    4305767 |     _pytest.doctest
import time:   1871652 |    1871652 |     _pytest.freeze_support
import time:       367 |        367 |           _locale
import time:      3243 |       3609 |         locale
import time:       595 |        595 |         msvcrt
import time:      7435 |       7435 |         _posixsubprocess
import time:      3599 |       3599 |         select
import time:       837 |        837 |         selectors
import time:      2102 |      18175 |       subprocess
import time:   1242895 |    1242895 |       _pytest.monkeypatch
import time:       361 |        361 |         gc
import time:   1371736 |    1371736 |         _pytest.tmpdir
import time:   1219206 |    2591302 |       _pytest.pytester
import time:   1272912 |    1272912 |       _pytest.terminal
import time:   1926127 |    7051409 |     _pytest.legacypath
import time:       439 |        439 |           _string
import time:       917 |       1356 |         string
import time:      4078 |       5433 |       logging
import time:   1483881 |    1489314 |     _pytest.logging
import time:   1300638 |    1300638 |     _pytest.recwarn
import time:   1417398 |    1417398 |     _pytest.subtests
import time:      3079 |  117793129 |   pytest
import time:       923 |        923 |           concurrent
import time:      1288 |       1288 |           concurrent.futures._base
import time:     15704 |      15704 |           _interpreters
import time:      1049 |      18962 |         concurrent.futures
import time:      5898 |       5898 |           _socket
import time:      2266 |       8163 |         socket
